naslov,leto,ocena_rotten_tomatoes,ocena_imdb
Deep Impact,1998,45,6.2
Godzilla,1998,15,5.4
The Truman Show,1998,95,8.1
The X Files,1998,67,7.0
Dr Doolittle,1998,,
Armageddon,1998,38,6.7
Lethal Weapon 4,1998,52,6.6
The Mask of Zorro,1998,83,6.8
Saving Private Ryan,1998,93,8.6
Blade,1998,57,7.1
There&#39;s Something About Mary,1998,83,7.1
Rounders,1998,65,7.3
Rush Hour,1998,60,7.0
Antz,1998,92,6.5
Practical Magic,1998,21,6.3
Pleasantville,1998,85,7.5
Vampires,1998,42,6.1
The Water Boy,1998,,
The Rugrats Movie,1998,59,5.9
A Bug&#39;s Life,1998,92,7.2
Star Trek: Insurrection,1998,54,6.4
You&#39;ve Got Mail,1998,69,6.7
Patch Adams,1998,22,6.8
A Civil Action,1998,62,6.6
Varsity Blues,1999,43,6.5
She&#39;s All That,1999,42,5.9
Payback,1999,55,7.1
Message in a Bottle,1999,32,6.3
8MM,1999,23,6.5
Analyze This,1999,69,6.7
Forces of Nature,1999,45,5.5
The Matrix,1999,88,8.7
Life,1999,51,6.8
Entrapment,1999,39,6.3
The Mummy,1999,62,7.1
Star Wars: Episode I - The Phantom Menace,1999,52,6.5
Austin Powers: The Spy Who Shagged Me,1999,52,6.6
Tarzan,1999,89,7.3
Big Daddy,1999,39,6.4
Wild Wild West,1999,16,4.9
American Pie,1999,61,7.0
Eyes Wide Shut,1999,75,7.4
The Haunting,1999,17,5.0
Runaway Bride,1999,46,5.6
The Sixth Sense,1999,86,8.1
Stigmata,1999,22,6.2
Blue Streak,1999,36,6.3
Double Jeopardy,1999,27,6.5
Fight Club,1999,79,8.8
The Best Man,1999,72,6.8
House on Haunted Hill,1999,31,5.6
The Bone Collector,1999,28,6.7
Pok&#233;mon: The First Movie: Mewtwo Strikes Back,1998,16,6.3
The World Is Not Enough,1999,52,6.4
Toy Story 2,1999,100,7.9
Stuart Little,1999,67,5.9
Any Given Sunday,1999,52,6.9
Next Friday,2000,21,6.2
Eye of the Beholder,1999,9,5.0
Scream 3,2000,41,5.6
The Whole Nine Yards,2000,43,6.7
Mission to Mars,2000,25,5.7
Erin Brockovich,2000,85,7.4
Rules of Engagement,2000,37,6.4
U-571,2000,67,6.6
Gladiator,2000,77,8.5
Dinosaur,2000,64,6.5
Mission: Impossible II,2000,56,6.1
Gone in Sixty Seconds,2000,25,6.5
Shaft,2000,67,6.0
"Me, Myself &amp; Irene",2000,48,6.6
The Perfect Storm,2000,47,6.4
Scary Movie,2000,52,6.2
X-Men,2000,82,7.4
What Lies Beneath,2000,47,6.6
Nutty Professor II: The Klumps,2000,26,4.4
Hollow Man,2000,26,5.8
The Cell,2000,45,6.4
Bring It on,2000,64,6.1
The Watcher,2000,11,5.3
Urban Legends: Final Cut,2000,9,4.3
Remember the Titans,2000,73,7.8
Meet the Parents,2000,84,7.0
Charlie&#39;s Angels,2000,68,5.6
How the Grinch Stole Christmas,2000,49,6.2
What Women Want,2000,54,6.4
Cast Away,2000,89,7.8
Save the Last Dance,2001,53,6.2
The Wedding Planner,2001,17,5.4
Hannibal,2001,40,6.8
The Mexican,2001,54,6.1
Exit Wounds,2001,33,5.6
Heartbreakers,2001,54,6.2
Spy Kids,2001,93,5.5
Bridget Jones&#39;s Diary,2001,80,6.7
Driven,2001,14,4.6
The Mummy Returns,2001,47,6.4
Shrek,2001,88,7.9
Pearl Harbor,2001,24,6.2
Swordfish,2001,25,6.5
Lara Croft: Tomb Raider,2001,20,5.8
The Fast and the Furious,2001,54,6.8
A.I. Artificial Intelligence,2001,75,7.2
Cats &amp; Dogs,2001,53,5.2
Legally Blonde,2001,72,6.4
Jurassic Park III,2001,48,5.9
Planet of the Apes,2001,44,5.7
Rush Hour 2,2001,52,6.6
American Pie 2,2001,52,6.4
Jeepers Creepers,2001,46,6.2
The Musketeer,2001,11,4.8
Hardball,2001,41,6.4
Don&#39;t Say a Word,2001,24,6.3
Training Day,2001,73,7.7
From Hell,2001,57,6.8
K-PAX,2001,42,7.4
Monster&#39;s Inc,2001,,
Harry Potter and the Philosopher&#39;s Stone,2001,81,7.6
Ocean&#39;s Eleven,2001,83,7.7
Vanilla Sky,2001,42,6.9
The Lord of the Rings: The Fellowship of the Ring,2001,91,8.8
Black Hawk Down,2001,77,7.7
Collateral Damage,2002,19,5.5
John Q,2002,23,7.1
Queen of the Damned,2002,17,5.3
We Were Soldiers,2002,64,7.2
The Time Machine,2002,28,6.0
Ice Age,2002,77,7.5
Blade II,2002,57,6.7
Panic Room,2002,76,6.8
Changing Lanes,2002,77,6.5
The Scorpion King,2002,41,5.5
Spider-Man,2002,90,7.3
Star Wars: Episode II - Attack of the Clones,2002,65,6.5
The Sum of All Fears,2002,59,6.4
Scooby-Doo,2002,30,5.2
Minority Report,2002,90,7.6
Mr. Deeds,2002,22,5.8
Men in Black II,2002,39,6.2
Road to Perdition,2002,81,7.7
Austin Powers in Goldmember,2002,53,6.2
Signs,2002,74,6.7
Xxx,2002,49,5.9
Swimfan,2002,15,5.1
Barbershop,2002,83,6.3
Sweet Home Alabama,2002,39,6.2
Red Dragon,2002,69,7.2
The Ring,2002,71,7.1
Jackass: The Movie,2002,49,6.6
The Santa Clause 2,2002,56,5.7
8 Mile,2002,75,7.1
Harry Potter and the Chamber of Secrets,2002,82,7.4
Die Another Day,2002,56,6.1
Maid in Manhattan,2002,38,5.3
The Lord of the Rings: The Two Towers,2002,95,8.7
Just Married,2003,19,5.5
Kangaroo Jack,2003,8,4.4
Darkness Falls,2003,9,5.0
The Recruit,2003,43,6.6
How to Lose a Guy in 10 Days,2003,42,6.4
Daredevil,2003,43,5.3
Cradle 2 the Grave,2003,26,5.8
Bringing Down the House,2003,34,5.6
Head of State,2003,30,5.5
Phone Booth,2002,72,7.0
Anger Management,2003,42,6.2
Identity,2003,63,7.3
X2,2003,85,7.4
The Matrix Reloaded,2003,73,7.2
Finding Nemo,2003,99,8.1
Bruce Almighty,2003,48,6.8
2 Fast 2 Furious,2003,36,5.9
Hulk,2003,62,5.6
Charlie&#39;s Angels: Full Throttle,2003,41,4.9
Terminator 3: Rise of the Machines,2003,69,6.3
Pirates of the Caribbean: The Curse of the Black Pearl,2003,80,8.0
Bad Boys II,2003,23,6.6
Spy Kids 3-D: Game Over,2003,45,4.3
American Wedding,2003,53,6.3
S.W.A.T.,2003,48,6.1
Freddy vs. Jason,2003,41,5.7
Jeepers Creepers 2,2003,24,5.6
Dickie Roberts: Former Child Star,2003,22,5.6
Once Upon a Time in Mexico,2003,66,6.4
Underworld,2003,31,7.0
The Rundown,2003,69,6.7
School of Rock,2003,92,7.1
Kill Bill: Vol. 1,2003,85,8.1
The Texas Chainsaw Massacre,2003,37,6.2
Scary Movie 3,2003,35,5.5
The Matrix Revolutions,2003,35,6.8
Elf,2003,85,7.0
The Cat in the Hat,2003,9,4.0
The Last Samurai,2003,66,7.7
Something&#39;s Gotta Give,2003,72,6.7
The Lord of the Rings: The Return of the King,2003,93,8.9
Along Came Polly,2004,27,6.0
The Butterfly Effect,2004,34,7.6
You Got Served,2004,16,3.9
Barbershop 2:  Back in Business,2004,69,5.7
50 First Dates,2004,45,6.8
The Passion of the Christ,2004,49,7.2
Dawn of the Dead,2004,76,7.3
Scooby-Doo 2: Monsters Unleashed,2004,22,5.2
Hellboy,2004,81,6.8
Kill Bill: Vol. 2,2004,84,8.0
Man on Fire,2004,39,7.7
Mean Girls,2004,84,7.0
Van Helsing,2004,23,6.1
Troy,2004,54,7.3
Shrek 2,2004,89,7.2
Harry Potter and the Prisoner of Azkaban,2004,90,7.9
Dodgeball: A True Underdog Story,2004,71,6.7
Fahrenheit 9/11,2004,82,7.5
Spider-Man 2,2004,93,7.4
"I, Robot",2004,58,7.1
The Bourne Supremacy,2004,82,7.7
The Village,2004,43,6.5
Collateral,2004,86,7.5
Aliens vs. Predator: Requiem,2007,12,4.6
Exorcist: The Beginning,2004,10,5.1
Hero,2002,94,7.9
Resident Evil: Apocalypse,2004,19,6.2
Sky Captain and the World of Tomorrow,2004,70,6.0
The Forgotten,2004,31,5.8
Shark Tale,2004,35,6.0
The Grudge,2004,40,5.9
The Incredibles,2004,97,8.0
National Treasure,2004,46,6.9
Ocean&#39;s Twelve,2004,55,6.5
Lemony Snicket&#39;s a Series of Unfortunate Events,2004,72,6.8
Meet the Fockers,2004,38,6.3
Coach Carter,2005,64,7.3
Are We There Yet?,2005,12,4.7
Hide and Seek,2005,13,6.0
Boogeyman,2005,14,4.2
Hitch,2005,68,6.6
Diary of a Mad Black Woman,2005,16,5.8
The Pacifier,2005,21,5.6
Robots,2005,64,6.4
The Ring Two,2005,20,5.4
Guess Who,2005,41,5.9
Sin City,2005,77,8.0
Sahara,2005,38,6.0
The Amityville Horror,2005,23,6.0
The Interpreter,2005,57,6.4
The Hitchhiker&#39;s Guide to the Galaxy,2005,60,6.7
Kingdom of Heaven,2005,39,7.2
Monster-In-Law,2005,18,5.6
Star Wars: Episode III - Revenge of the Sith,2005,80,7.5
Madagascar,2005,55,6.9
Mr. &amp; Mrs. Smith,2005,60,6.5
Batman Begins,2005,84,8.2
War of the Worlds,2005,75,6.5
Fantastic Four,2005,28,5.7
Charlie and the Chocolate Factory,2005,83,6.6
Wedding Crashers,2005,75,6.9
The Dukes of Hazzard,2005,14,5.1
Four Brothers,2005,53,6.8
The 40 Year Old Virgin,2005,85,7.1
Transporter 2,2005,51,6.3
The Exorcism of Emily Rose,2005,20,6.7
Just Like Heaven,2005,55,6.7
Flightplan,2005,37,6.3
The Curse of the Were-Rabbit,2005,95,7.4
The Fog,2005,4,3.7
Doom,2005,18,5.2
Saw II,2005,37,6.6
Chicken Little,2005,36,5.7
Harry Potter and the Goblet of Fire,2005,88,7.7
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,76,6.9
King Kong,2005,84,7.2
Hostel,2005,60,5.9
Glory Road,2006,55,7.2
Underworld: Evolution,2006,17,6.7
Big Momma&#39;s House 2,2006,5,4.8
When a Stranger Calls,2006,9,5.1
The Pink Panther,2006,21,5.7
Eight Below,2006,72,7.3
Madea&#39;s Family Reunion,2006,26,5.3
Failure to Launch,2006,24,5.6
V for Vendetta,2005,73,8.1
Inside Man,2006,86,7.6
Ice Age: The Meltdown,2006,57,6.8
Scary Movie 4,2006,35,5.1
Silent Hill,2006,32,6.5
RV,2006,24,5.5
Mission: Impossible III,2006,71,6.9
The Da Vinci Code,2006,25,6.6
X-Men: The Last Stand,2006,57,6.7
The Break-Up,2006,34,5.8
Cars,2006,74,7.1
Click,2006,34,6.4
Superman Returns,2006,74,6.0
Pirates of the Caribbean: Dead Man&#39;s Chest,2006,53,7.3
Miami Vice,2006,47,6.0
Talladega Nights: The Ballad of Ricky Bobby,2006,71,6.6
Snakes on a Plane,2006,69,5.4
Invincible,2006,72,7.1
The Covenant,2006,4,5.3
Gridiron Gang,2006,42,6.9
Jackass Number Two,2006,64,7.0
Open Season,2006,48,6.1
The Departed,2006,90,8.5
The Grudge 2,2006,12,5.1
The Prestige,2006,76,8.5
Saw III,2006,29,6.2
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,90,7.3
Happy Feet,2006,76,6.4
Apocalypto,2006,65,7.8
The Pursuit of Happyness,2006,67,8.0
Night at the Museum,2006,43,6.4
Stomp the Yard,2007,25,5.5
Epic Movie,2007,2,2.4
The Messengers,2007,12,5.4
Norbit,2007,9,4.1
Ghost Rider,2007,26,5.3
Wild Hogs,2007,14,5.8
300,2006,61,7.6
TMNT,2007,34,6.2
Blades of Glory,2007,70,6.3
Disturbia,2007,69,6.8
Spider-Man 3,2007,63,6.2
Shrek the Third,2007,41,6.1
Pirates of the Caribbean: At World&#39;s End,2007,44,7.1
Ocean&#39;s Thirteen,2007,70,6.9
Fantastic 4: Rise of the Silver Surfer,2007,37,5.6
Evan Almighty,2007,23,5.4
Ratatouille,2007,96,8.0
Transformers: Beginnings,2007,,
Harry Potter and the Order of the Phoenix,2007,77,7.5
I Now Pronounce You Chuck &amp; Larry,2007,15,5.9
The Simpsons Movie,2007,87,7.3
The Bourne Ultimatum,2007,92,8.0
Rush Hour 3,2007,17,6.2
Superbad,2007,87,7.6
Halloween,2007,28,6.1
3:10 to Yuma,2007,89,7.7
The Brave One,2007,44,6.7
Resident Evil: Extinction,2007,25,6.2
The Game Plan,2007,29,6.1
Why Did I Get Married?,2007,48,5.9
30 Days of Night,2007,51,6.6
Saw IV,2007,19,5.9
American Gangster,2007,80,7.8
Bee Movie,2007,49,6.1
Beowulf,2007,71,6.2
Enchanted,2007,93,7.0
The Golden Compass,2007,42,6.1
I Am Legend,2007,68,7.2
National Treasure: Book of Secrets,2007,36,6.5
The Bucket List,2007,41,7.4
Cloverfield,2008,78,7.0
Meet the Spartans,2008,2,2.8
Hannah Montana &amp; Miley Cyrus: Best of Both Worlds Concert,2008,71,2.6
Fool&#39;s Gold,2008,11,5.7
Jumper,2008,15,6.1
Vantage Point,2008,34,6.6
Semi-Pro,2008,22,5.8
"10,000 BC",2008,9,5.1
Horton Hears a Who!,2008,80,6.8
21,2008,36,6.8
Prom Night,2008,7,3.9
The Forbidden Kingdom,2008,63,6.6
Baby Mama,2008,63,6.0
Iron Man,2008,94,7.9
